DATE,OPEN,HiGH,LOW,CLOSE,VOLUME
1/3/2022 9:30,61.18,61.88,61.11,61.769,3225561
1/3/2022 10:00,61.76,62.6,61.75,62.575,3187813
1/3/2022 10:30,62.575,62.78,62.33,62.7,2007179
1/3/2022 11:00,62.7,63.01,62.7,62.92,1472308
1/3/2022 11:30,62.92,63.14,62.65,63.08,1357709
1/3/2022 12:00,63.085,63.5,63.05,63.46,1967167
1/3/2022 12:30,63.465,63.61,63.29,63.57,1631523
1/3/2022 13:00,63.5654,63.58,63.425,63.55,1122783
1/3/2022 13:30,63.55,63.61,63.4,63.54,1031399
1/3/2022 14:00,63.53,63.54,63.39,63.455,918500
1/3/2022 14:30,63.455,63.6,63.41,63.435,1187929
1/3/2022 15:00,63.43,63.46,63.215,63.26,1430970
1/3/2022 15:30,63.265,63.31,63.04,63.1,4016741
1/3/2022 16:00,63.1,63.1,63.1,63.1,1862922
1/4/2022 9:30,64.06,64.71,63.88,64.52,4769817
1/4/2022 10:00,64.52,64.73,64.15,64.44,2063905
1/4/2022 10:30,64.435,64.58,64.105,64.1303,2671669
1/4/2022 11:00,64.1318,64.19,63.56,63.78,2013071
1/4/2022 11:30,63.77,64.1192,63.69,63.92,1216208
1/4/2022 12:00,63.91,64.07,63.8445,64.01,650546
1/4/2022 12:30,64.015,64.09,63.855,63.88,936544
1/4/2022 13:00,63.86,63.89,63.62,63.78,979406
1/4/2022 13:30,63.77,63.87,63.535,63.735,937076
1/4/2022 14:00,63.7333,63.865,63.7,63.865,762646
1/4/2022 14:30,63.865,63.91,63.74,63.755,1055149
1/4/2022 15:00,63.75,63.86,63.68,63.84,1243420
1/4/2022 15:30,63.83,63.87,63.58,63.59,2804800
1/4/2022 16:00,63.59,63.59,63.59,63.59,1659347
1/5/2022 9:30,64.1,64.41,63.6,63.78,2695448
1/5/2022 10:00,63.775,64.03,63.745,63.99,1684376
1/5/2022 10:30,63.995,64.15,63.905,64.01,1257113
1/5/2022 11:00,64.01,64.055,63.843,63.92,961532
1/5/2022 11:30,63.92,63.955,63.825,63.885,830064
1/5/2022 12:00,63.88,64.2,63.845,64.165,859595
1/5/2022 12:30,64.165,64.23,63.76,63.762,1420748
1/5/2022 13:00,63.7661,63.8,63.49,63.555,1078095
1/5/2022 13:30,63.555,63.8,63.51,63.76,691006
1/5/2022 14:00,63.76,63.7667,63.36,63.465,1135316
1/5/2022 14:30,63.465,63.54,63.12,63.28,1243416
1/5/2022 15:00,63.28,63.415,62.9,62.9,1761155
1/5/2022 15:30,62.9,63.018,62.775,62.88,3363163
1/5/2022 16:00,62.85,62.85,62.85,62.85,2730656
1/6/2022 9:30,64.22,64.49,63.59,63.92,3102099
1/6/2022 10:00,63.92,64.065,63.51,63.83,1914420
1/6/2022 10:30,63.84,64.46,63.83,64.33,1987446
1/6/2022 11:00,64.32,64.885,64.24,64.8,2615245
1/6/2022 11:30,64.805,64.805,64.55,64.62,1340073
