DATE,OPEN,HiGH,LOW,CLOSE,VOLUME
1/3/2022 9:30,87.33,87.74,86.33,86.419,734844
1/3/2022 10:00,86.385,86.63,86.14,86.6,463885
1/3/2022 10:30,86.615,86.615,85.95,86.02,560802
1/3/2022 11:00,86.015,86.76,85.76,86.74,699320
1/3/2022 11:30,86.73,86.805,86.33,86.63,522194
1/3/2022 12:00,86.64,87.37,86.59,87.11,695574
1/3/2022 12:30,87.12,87.54,87.06,87.54,503862
1/3/2022 13:00,87.535,87.7657,87.38,87.555,675969
1/3/2022 13:30,87.555,87.92,87.545,87.71,410329
1/3/2022 14:00,87.7101,87.85,87.58,87.8,314905
1/3/2022 14:30,87.81,87.85,87.48,87.56,323740
1/3/2022 15:00,87.55,87.93,87.4972,87.715,477841
1/3/2022 15:30,87.715,87.94,87.6,87.91,1242482
1/3/2022 16:00,87.9,87.9,87.9,87.9,935942
1/4/2022 9:30,87.9,88.98,87.73,88.87,1212442
1/4/2022 10:00,88.88,89.58,88.71,89.48,1107117
1/4/2022 10:30,89.48,89.5843,88.91,89.02,786106
1/4/2022 11:00,89.02,89.23,88.66,88.72,643609
1/4/2022 11:30,88.71,88.845,88.33,88.83,478348
1/4/2022 12:00,88.8293,88.84,88.552,88.64,322121
1/4/2022 12:30,88.65,88.84,88.18,88.205,384072
1/4/2022 13:00,88.205,88.3753,88.13,88.28,332691
1/4/2022 13:30,88.285,88.35,88.15,88.2,499078
1/4/2022 14:00,88.1968,88.58,88.1968,88.42,352132
1/4/2022 14:30,88.425,88.82,88.4231,88.57,330525
1/4/2022 15:00,88.57,88.765,88.54,88.69,368238
1/4/2022 15:30,88.68,89.09,88.55,88.88,1318177
1/4/2022 16:00,88.84,88.84,88.84,88.84,1447720
1/5/2022 9:30,88.49,88.6,87.315,87.575,850930
1/5/2022 10:00,87.57,87.93,87.22,87.903,576575
1/5/2022 10:30,87.8801,88.28,87.78,88.05,431394
1/5/2022 11:00,88.05,88.095,87.67,88.03,320261
1/5/2022 11:30,88.03,88.08,87.5227,87.6,326640
1/5/2022 12:00,87.59,87.68,87.43,87.48,379411
1/5/2022 12:30,87.48,87.5,87.15,87.22,385882
1/5/2022 13:00,87.22,87.27,86.97,87.01,387754
1/5/2022 13:30,87.015,87.11,86.81,87.0932,408328
1/5/2022 14:00,87.1,87.33,87.04,87.2,590316
1/5/2022 14:30,87.22,87.26,86.74,86.82,646251
1/5/2022 15:00,86.81,86.83,86.22,86.29,660792
1/5/2022 15:30,86.29,86.7,86.27,86.47,1588850
1/5/2022 16:00,86.46,86.46,86.46,86.46,1145523
1/6/2022 9:30,86,87.4189,85.55,86.68,900793
1/6/2022 10:00,86.62,86.79,86.3001,86.43,467847
1/6/2022 10:30,86.44,86.535,86.21,86.27,415698
1/6/2022 11:00,86.29,86.35,85.89,86.24,327221
1/6/2022 11:30,86.2334,86.32,86.1,86.31,323487
1/6/2022 12:00,86.265,86.385,86.015,86.02,356208
1/6/2022 12:30,86.03,86.085,85.88,86.03,251786
1/6/2022 13:00,86.03,86.69,86,86.26,359095
1/6/2022 13:30,86.27,86.445,86.21,86.375,238153
1/6/2022 14:00,86.38,86.48,86.23,86.295,304237
1/6/2022 14:30,86.29,86.59,86.24,86.5,276702
1/6/2022 15:00,86.51,86.76,86.46,86.65,511072
1/6/2022 15:30,86.64,86.67,86.13,86.33,1029917
1/6/2022 16:00,86.34,86.34,86.34,86.34,729052
1/7/2022 9:30,86.45,87.13,86.2801,86.99,663516
1/7/2022 10:00,87.01,87.175,86.78,86.92,486162
1/7/2022 10:30,86.91,87.37,86.91,86.94,603267
1/7/2022 11:00,86.95,87.66,86.95,87.6,745833
1/7/2022 11:30,87.59,87.91,87.48,87.59,492981
1/7/2022 12:00,87.59,87.6,87.21,87.35,280492
1/7/2022 12:30,87.35,87.54,87.24,87.52,235302
1/7/2022 13:00,87.52,88,87.505,87.67,461860
1/7/2022 13:30,87.66,87.92,87.57,87.7,374018
1/7/2022 14:00,87.703,87.825,87.61,87.67,291048
1/7/2022 14:30,87.66,87.96,87.52,87.875,391202
1/7/2022 15:00,87.86,87.92,87.595,87.675,355917
1/7/2022 15:30,87.675,87.92,87.49,87.5,1148174
1/7/2022 16:00,87.51,87.51,87.51,87.51,813149
1/10/2022 9:30,87.38,88.19,87.16,87.69,963230
1/10/2022 10:00,87.68,87.685,86.952,87.21,567907
1/10/2022 10:30,87.22,87.41,87,87.26,438208
1/10/2022 11:00,87.25,88.24,87.145,88.08,422720
1/10/2022 11:30,88.085,88.69,87.5,88.34,772965
1/10/2022 12:00,88.339,88.52,88.2,88.39,253109
1/10/2022 12:30,88.38,88.72,88.26,88.53,320839
1/10/2022 13:00,88.54,89.11,88.48,89.048,397548
1/10/2022 13:30,89.05,89.3,88.8101,88.96,461756
1/10/2022 14:00,88.96,89.08,88.55,88.59,327053
1/10/2022 14:30,88.59,88.76,88.31,88.54,346230
1/10/2022 15:00,88.54,88.66,88.16,88.47,397327
1/10/2022 15:30,88.47,89.38,88.45,89.31,1811576
1/10/2022 16:00,89.28,89.28,89.28,89.28,1580681
1/11/2022 9:30,88.64,89,87.78,88.38,780230
1/11/2022 10:00,88.37,88.71,87.91,88.11,445603
1/11/2022 10:30,88.125,88.27,87.4101,87.64,413812
1/11/2022 11:00,87.65,88.07,87.51,87.875,504918
1/11/2022 11:30,87.87,88.11,87.73,87.77,286686
1/11/2022 12:00,87.785,88.16,87.76,87.81,253264
1/11/2022 12:30,87.82,87.8822,87.665,87.8,228105
1/11/2022 13:00,87.785,88.01,87.63,87.95,260601
1/11/2022 13:30,87.95,88.1,87.825,88.0493,213051
1/11/2022 14:00,88.0554,88.39,87.94,88.35,236573
1/11/2022 14:30,88.35,88.45,88.24,88.275,310886
