DATE,OPEN,HiGH,LOW,CLOSE,VOLUME
1/3/2022 9:30,58.5,58.55,56.57,56.7401,8079352
1/3/2022 10:00,56.7499,57.425,56.56,57.375,4495816
1/3/2022 10:30,57.375,57.385,56.88,57.115,3075401
1/3/2022 11:00,57.111,57.125,56.84,57.035,2847248
1/3/2022 11:30,57.035,57.26,56.9,57.2501,1862007
1/3/2022 12:00,57.26,57.385,57.19,57.24,1456985
1/3/2022 12:30,57.24,57.265,56.725,56.84,2312139
1/3/2022 13:00,56.832,56.92,56.73,56.87,1631822
1/3/2022 13:30,56.8758,57.04,56.8501,57.02,1446849
1/3/2022 14:00,57.015,57.04,56.84,56.895,1576509
1/3/2022 14:30,56.895,57.01,56.82,56.83,1474580
1/3/2022 15:00,56.8399,57,56.755,56.765,2260260
1/3/2022 15:30,56.76,56.7886,56.34,56.66,10797648
1/3/2022 16:00,56.65,56.65,56.65,56.65,3647136
1/4/2022 9:30,56.22,56.43,54.23,54.35,11874988
1/4/2022 10:00,54.36,54.57,53.94,54.51,6771315
1/4/2022 10:30,54.52,54.58,54.155,54.535,4203650
1/4/2022 11:00,54.535,54.945,54.45,54.905,3626204
1/4/2022 11:30,54.9,55.43,54.761,55.14,4034980
1/4/2022 12:00,55.1301,55.21,54.93,55.065,2003115
1/4/2022 12:30,55.07,55.175,54.75,54.815,1673488
1/4/2022 13:00,54.81,54.825,54.595,54.725,1862998
1/4/2022 13:30,54.725,54.75,54.58,54.715,1528526
1/4/2022 14:00,54.7199,55.0084,54.59,55.005,2171469
1/4/2022 14:30,55.005,55.14,54.99,55.035,2266725
1/4/2022 15:00,55.035,55.05,54.66,54.715,4019822
1/4/2022 15:30,54.71,54.75,54.4,54.53,7928225
1/4/2022 16:00,54.53,54.53,54.53,54.53,4145322
1/5/2022 9:30,55.84,56.3,55.37,55.59,8496013
1/5/2022 10:00,55.59,55.92,55.49,55.78,3654187
1/5/2022 10:30,55.79,56.44,55.75,55.9393,3927792
1/5/2022 11:00,55.94,56.03,55.71,55.7501,1889000
1/5/2022 11:30,55.75,55.8,55.49,55.57,1870179
1/5/2022 12:00,55.5724,55.85,55.52,55.74,1511680
1/5/2022 12:30,55.75,56.045,55.72,55.81,2049383
1/5/2022 13:00,55.815,55.92,55.66,55.725,1492449
1/5/2022 13:30,55.725,56.03,55.66,55.99,2198628
1/5/2022 14:00,55.99,56.24,55.8,56.175,2959354
1/5/2022 14:30,56.175,56.38,55.84,55.89,3166959
1/5/2022 15:00,55.885,56.0299,55.53,55.67,2866096
1/5/2022 15:30,55.67,55.9199,55.59,55.63,5170352
1/5/2022 16:00,55.63,55.63,55.63,55.63,4747548
1/6/2022 9:30,55.16,55.34,54.51,54.628,4669981
1/6/2022 10:00,54.6173,54.905,54.49,54.725,2887371
1/6/2022 10:30,54.73,55.26,54.65,55.255,2310594
1/6/2022 11:00,55.255,55.6,55.175,55.485,1962156
1/6/2022 11:30,55.48,55.56,55.27,55.335,1394360
1/6/2022 12:00,55.33,55.57,55.305,55.3799,1427062
1/6/2022 12:30,55.37,55.44,55.205,55.365,1565655
1/6/2022 13:00,55.365,55.63,55.345,55.585,1394650
1/6/2022 13:30,55.59,55.6054,55.16,55.2866,1431569
1/6/2022 14:00,55.2851,55.34,55.065,55.303,1469030
1/6/2022 14:30,55.3037,55.38,55.21,55.2823,1331166
1/6/2022 15:00,55.28,55.46,55.153,55.16,2028066
1/6/2022 15:30,55.16,55.205,54.8,54.85,5223876
1/6/2022 16:00,54.84,54.84,54.84,54.84,2611316
1/7/2022 9:30,55.36,55.38,54.75,54.82,2902180
1/7/2022 10:00,54.83,55.175,54.63,55.08,2028305
1/7/2022 10:30,55.08,55.56,55.08,55.355,2221476
1/7/2022 11:00,55.36,55.465,55.15,55.2152,1455621
1/7/2022 11:30,55.22,55.74,55.17,55.7,1351351
1/7/2022 12:00,55.7,55.73,55.421,55.4343,1112566
1/7/2022 12:30,55.435,55.59,55.36,55.52,855959
1/7/2022 13:00,55.5166,55.72,55.495,55.56,961494
1/7/2022 13:30,55.56,55.61,55.45,55.505,868624
1/7/2022 14:00,55.505,55.685,55.5029,55.605,921436
1/7/2022 14:30,55.6,55.765,55.55,55.69,1016372
1/7/2022 15:00,55.7,55.7,55.53,55.575,1101754
1/7/2022 15:30,55.575,55.77,55.54,55.72,3689872
1/7/2022 16:00,55.72,55.72,55.72,55.72,3497862
1/10/2022 9:30,55.71,55.88,54.74,55.41,4118015
1/10/2022 10:00,55.4,55.48,55.2,55.4,2178430
1/10/2022 10:30,55.41,55.64,55.33,55.45,1732269
1/10/2022 11:00,55.45,55.92,55.44,55.645,2123021
1/10/2022 11:30,55.6438,55.66,55.4221,55.58,1157651
1/10/2022 12:00,55.585,55.8,55.46,55.695,1207728
1/10/2022 12:30,55.69,55.95,55.545,55.795,1991443
1/10/2022 13:00,55.7901,55.89,55.74,55.79,1781552
1/10/2022 13:30,55.7931,56.165,55.67,56.15,1699880
1/10/2022 14:00,56.145,56.235,56.03,56.105,1861678
1/10/2022 14:30,56.11,56.155,55.96,56.035,1499623
1/10/2022 15:00,56.04,56.21,55.955,56.08,1904116
1/10/2022 15:30,56.07,56.26,55.99,56.24,3313058
1/10/2022 16:00,56.24,56.24,56.24,56.24,3080865
1/11/2022 9:30,56.75,57.43,56.4,56.64,5262094
1/11/2022 10:00,56.65,56.91,56.36,56.48,2169329
1/11/2022 10:30,56.48,56.65,56.19,56.3997,1608205
1/11/2022 11:00,56.395,56.43,56.03,56.09,1571925
1/11/2022 11:30,56.085,56.19,55.81,56.0531,1522291
1/11/2022 12:00,56.055,56.2699,56.015,56.12,1106246
1/11/2022 12:30,56.115,56.125,55.93,56.07,878764
1/11/2022 13:00,56.06,56.29,56.0527,56.21,1123764
1/11/2022 13:30,56.215,56.46,56.19,56.42,1112596
1/11/2022 14:00,56.415,56.52,56.34,56.43,1221085
1/11/2022 14:30,56.4297,56.555,56.345,56.53,1012480
1/11/2022 15:00,56.54,56.66,56.41,56.58,1415969
1/11/2022 15:30,56.5839,56.74,56.51,56.7,3466411
1/11/2022 16:00,56.69,56.69,56.69,56.69,3367442
1/12/2022 9:30,56.34,56.62,55.9,56.27,3555812
1/12/2022 10:00,56.26,56.475,56.12,56.43,1632974
1/12/2022 10:30,56.425,56.845,56.335,56.64,2064272
1/12/2022 11:00,56.64,56.72,56.305,56.665,1436424
1/12/2022 11:30,56.67,57.16,56.665,56.89,1867663
1/12/2022 12:00,56.8999,57.025,56.56,56.655,1571057
1/12/2022 12:30,56.65,56.71,56.5,56.62,1008297
1/12/2022 13:00,56.6155,56.74,56.55,56.6873,1355231
1/12/2022 13:30,56.68,56.78,56.53,56.5399,856356
1/12/2022 14:00,56.53,56.6,56.44,56.555,721547
1/12/2022 14:30,56.5521,56.605,56.49,56.5196,722560
1/12/2022 15:00,56.515,56.52,56.36,56.46,1135878
1/12/2022 15:30,56.46,56.73,56.38,56.64,2720774
1/12/2022 16:00,56.65,56.65,56.65,56.65,3555151
1/13/2022 9:30,56.53,56.75,55.22,55.645,4137318
1/13/2022 10:00,55.65,55.9,55.535,55.828,1652405
1/13/2022 10:30,55.825,56.07,55.56,55.7325,2037890
1/13/2022 11:00,55.74,55.82,55.59,55.81,1203747
1/13/2022 11:30,55.805,55.81,55.6,55.735,852847
1/13/2022 12:00,55.74,55.85,55.33,55.474,1890884
1/13/2022 12:30,55.48,55.745,55.45,55.665,1091090
1/13/2022 13:00,55.67,55.88,55.565,55.86,926581
1/13/2022 13:30,55.865,55.87,55.56,55.675,809684
