DATE,OPEN,HiGH,LOW,CLOSE,VOLUME
1/3/2022 9:30,177.83,180.84,177.71,180.72,7019812
1/3/2022 9:45,180.72,180.93,179.4,180.526,5564254
1/3/2022 10:00,180.52,181.43,180.271,181.21,5399202
1/3/2022 10:15,181.21,181.26,180.49,180.86,3066281
1/3/2022 10:30,180.86,181.21,180.57,180.79,2445584
1/3/2022 10:45,180.79,181.23,180.79,180.96,1893971
1/3/2022 11:00,180.956,181.01,180.39,180.81,2041215
1/3/2022 11:15,180.83,181.77,180.7,181.72,3311280
1/3/2022 11:30,181.72,181.73,181.14,181.47,2256296
1/3/2022 11:45,181.475,181.768,181.35,181.48,1802488
1/3/2022 12:00,181.47,181.52,181.075,181.285,1474902
1/3/2022 12:15,181.3,181.695,181.29,181.61,1507647
1/3/2022 12:30,181.615,182.167,181.49,182.04,2755972
1/3/2022 12:45,182.05,182.1,181.65,181.705,1518780
1/3/2022 13:00,181.71,182.1,181.64,182.02,1475811
1/3/2022 13:15,182.015,182.279,181.96,182.24,1723698
1/3/2022 13:30,182.245,182.86,182.21,182.85,3355285
1/3/2022 13:45,182.842,182.88,182.3,182.365,2836523
1/3/2022 14:00,182.365,182.465,182.01,182.12,2190936
1/3/2022 14:15,182.12,182.31,181.81,181.865,1919737
1/3/2022 14:30,181.865,182.29,181.66,182.21,2154076
1/3/2022 14:45,182.2,182.255,181.87,181.87,1399627
1/3/2022 15:00,181.874,182.2,181.71,182.14,1783810
1/3/2022 15:15,182.13,182.15,181.87,182.135,1669166
1/3/2022 15:30,182.14,182.15,181.36,181.501,3097533
1/3/2022 15:45,181.505,182.01,181.195,182.01,13098782
1/3/2022 16:15,182.01,182.01,182.01,182.01,0
1/4/2022 9:30,182.63,182.94,181.49,182.098,6771699
1/4/2022 9:45,182.11,182.85,181.7,182.21,4797459
1/4/2022 10:00,182.21,182.39,181.552,181.875,3949216
1/4/2022 10:15,181.875,182.42,181.5,182.4,3795112
1/4/2022 10:30,182.39,182.68,181.76,181.866,3525379
1/4/2022 10:45,181.864,182.3,180.97,180.99,3522276
1/4/2022 11:00,180.97,181.05,179.47,180.5,6077331
1/4/2022 11:15,180.5,180.61,179.51,179.86,2838121
1/4/2022 11:30,179.87,180.21,179.68,179.93,2381976
1/4/2022 11:45,179.935,180.2,179.62,179.765,2223215
1/4/2022 12:00,179.77,180.015,179.2,179.93,2974408
1/4/2022 12:15,179.92,180.37,179.91,180.02,1817328
1/4/2022 12:30,180.01,180.05,179.55,179.61,1442237
1/4/2022 12:45,179.605,179.82,179.25,179.32,1464939
1/4/2022 13:00,179.32,179.79,179.22,179.577,1327380
1/4/2022 13:15,179.59,179.98,179.38,179.495,1293162
1/4/2022 13:30,179.51,179.55,179.12,179.52,1537766
1/4/2022 13:45,179.53,179.739,179.37,179.44,1226175
1/4/2022 14:00,179.441,179.75,179.43,179.63,1452319
1/4/2022 14:15,179.63,179.65,179.31,179.49,1311490
1/4/2022 14:30,179.49,179.978,179.48,179.86,1572549
1/4/2022 14:45,179.86,180.18,179.75,179.99,1692630
1/4/2022 15:00,180,180.5,179.975,180.336,2017319
1/4/2022 15:15,180.34,180.4,180.01,180.13,1958200
1/4/2022 15:30,180.13,180.15,179.86,180.04,1830958
1/4/2022 15:45,180.05,180.48,179.62,179.7,10256069
1/4/2022 16:15,179.7,179.7,179.7,179.7,0
1/5/2022 9:30,179.61,180.17,178.11,178.87,5390759
1/5/2022 9:45,178.86,179.33,177.56,179.27,3358902
1/5/2022 10:00,179.29,179.48,178.35,178.4,2919706
1/5/2022 10:15,178.409,179,177.97,178.93,2884764
1/5/2022 10:30,178.91,178.93,178.11,178.4,1928443
1/5/2022 10:45,178.42,178.75,178.1,178.74,1570443
1/5/2022 11:00,178.74,178.955,178.53,178.87,1399766
1/5/2022 11:15,178.87,179.33,178.86,179.29,1656268
1/5/2022 11:30,179.315,179.431,178.61,178.668,1697354
1/5/2022 11:45,178.66,178.995,178.56,178.801,1379800
1/5/2022 12:00,178.808,179.11,178.6,178.95,1247893
1/5/2022 12:15,178.94,179.25,178.87,179.11,1236268
1/5/2022 12:30,179.104,179.13,178.45,178.54,1713973
1/5/2022 12:45,178.55,178.74,178.25,178.322,1562831
1/5/2022 13:00,178.33,178.37,177.67,178.09,2325889
1/5/2022 13:15,178.09,178.44,178.09,178.28,1501634
1/5/2022 13:30,178.29,178.55,178.26,178.325,1079241
1/5/2022 13:45,178.325,178.43,178,178.05,949855
1/5/2022 14:00,178.04,178.72,177.09,177.34,3531579
1/5/2022 14:15,177.308,177.64,176.9,177.08,3040566
1/5/2022 14:30,177.088,177.4,176.27,176.34,2718985
1/5/2022 14:45,176.35,176.78,176.1,176.51,2495615
1/5/2022 15:00,176.5,176.55,175.26,176.256,4181224
1/5/2022 15:15,176.255,176.62,175.88,176.31,3248459
1/5/2022 15:30,176.3,176.84,176.2,176.32,3638422
1/5/2022 15:45,176.32,176.47,174.64,174.92,16649506
1/5/2022 16:15,174.92,174.92,174.92,174.92,0
1/6/2022 9:30,172.7,175.28,172.11,175.25,8144888
1/6/2022 9:45,175.24,175.3,173.62,173.87,4129513
1/6/2022 10:00,173.85,174.27,172.17,173.03,4893309
1/6/2022 10:15,173.05,173.92,172.91,173.58,3679588
1/6/2022 10:30,173.59,174.3,173.41,173.58,3068215
1/6/2022 10:45,173.59,173.77,173.09,173.53,2759694
1/6/2022 11:00,173.54,174.07,172.969,173.92,2804036
1/6/2022 11:15,173.94,174.24,173.15,173.26,2322142
1/6/2022 11:30,173.28,173.41,172.81,172.991,1943497
1/6/2022 11:45,172.975,173.365,172.74,172.963,1771528
