DATE,OPEN,HiGH,LOW,CLOSE,VOLUME
1/3/2022 9:30,61.18,61.87,61.11,61.81,1889368
1/3/2022 9:45,61.79,61.88,61.54,61.769,1336193
1/3/2022 10:00,61.76,62.21,61.75,62.165,1500187
1/3/2022 10:15,62.17,62.6,62.14,62.575,1687626
1/3/2022 10:30,62.575,62.77,62.33,62.69,1166625
1/3/2022 10:45,62.69,62.78,62.62,62.7,840554
1/3/2022 11:00,62.7,62.975,62.7,62.825,754144
1/3/2022 11:15,62.825,63.01,62.75,62.92,718164
1/3/2022 11:30,62.92,62.945,62.65,62.92,743731
1/3/2022 11:45,62.93,63.14,62.925,63.08,613978
1/3/2022 12:00,63.085,63.347,63.05,63.345,933336
1/3/2022 12:15,63.35,63.5,63.3,63.46,1033831
1/3/2022 12:30,63.465,63.52,63.29,63.31,844599
1/3/2022 12:45,63.31,63.61,63.295,63.57,786924
1/3/2022 13:00,63.5654,63.58,63.4409,63.45,649844
1/3/2022 13:15,63.45,63.55,63.425,63.55,472939
1/3/2022 13:30,63.55,63.61,63.48,63.5237,555130
1/3/2022 13:45,63.525,63.56,63.4,63.54,476269
1/3/2022 14:00,63.53,63.5399,63.48,63.505,412268
1/3/2022 14:15,63.51,63.54,63.39,63.455,506232
1/3/2022 14:30,63.455,63.585,63.445,63.58,531475
1/3/2022 14:45,63.585,63.6,63.41,63.435,656454
1/3/2022 15:00,63.43,63.46,63.245,63.255,662185
1/3/2022 15:15,63.255,63.3,63.215,63.26,768785
1/3/2022 15:30,63.265,63.31,63.06,63.075,1028338
1/3/2022 15:45,63.0793,63.15,63.04,63.1,2988403
1/3/2022 16:00,63.1,63.1,63.1,63.1,1862922
1/4/2022 9:30,64.06,64.71,63.93,63.98,3324085
1/4/2022 9:45,63.99,64.57,63.88,64.52,1445732
1/4/2022 10:00,64.52,64.645,64.15,64.55,1107752
1/4/2022 10:15,64.5435,64.73,64.38,64.44,956153
1/4/2022 10:30,64.435,64.505,64.27,64.395,1285889
1/4/2022 10:45,64.395,64.58,64.105,64.1303,1385780
1/4/2022 11:00,64.1318,64.19,63.86,63.95,1060802
1/4/2022 11:15,63.945,64,63.56,63.78,952269
1/4/2022 11:30,63.77,64.06,63.69,64.02,615355
1/4/2022 11:45,64,64.1192,63.88,63.92,600853
1/4/2022 12:00,63.91,64.015,63.9,64.01,306840
1/4/2022 12:15,64.005,64.07,63.8445,64.01,343706
1/4/2022 12:30,64.015,64.09,63.94,64.05,495420
1/4/2022 12:45,64.05,64.065,63.855,63.88,441124
1/4/2022 13:00,63.86,63.89,63.635,63.645,524991
1/4/2022 13:15,63.645,63.78,63.62,63.78,454415
1/4/2022 13:30,63.77,63.82,63.535,63.78,584556
1/4/2022 13:45,63.78,63.87,63.72,63.735,352520
1/4/2022 14:00,63.7333,63.82,63.7,63.77,295855
1/4/2022 14:15,63.765,63.865,63.725,63.865,466791
1/4/2022 14:30,63.865,63.91,63.8,63.835,474471
1/4/2022 14:45,63.835,63.885,63.74,63.755,580678
1/4/2022 15:00,63.75,63.82,63.68,63.77,520377
1/4/2022 15:15,63.78,63.86,63.73,63.84,723043
1/4/2022 15:30,63.83,63.84,63.73,63.835,743868
1/4/2022 15:45,63.84,63.87,63.58,63.59,2060932
1/4/2022 16:00,63.59,63.59,63.59,63.59,1659347
1/5/2022 9:30,64.1,64.41,63.88,63.995,1893761
1/5/2022 9:45,63.99,64.02,63.6,63.78,801687
1/5/2022 10:00,63.775,63.9899,63.745,63.8788,939353
1/5/2022 10:15,63.875,64.03,63.7912,63.99,745023
1/5/2022 10:30,63.995,64.15,63.905,64.08,639897
1/5/2022 10:45,64.075,64.1478,63.96,64.01,617216
1/5/2022 11:00,64.01,64.055,63.843,63.94,616799
1/5/2022 11:15,63.93,64.03,63.875,63.92,344733
1/5/2022 11:30,63.92,63.955,63.835,63.89,453122
1/5/2022 11:45,63.89,63.9,63.825,63.885,376942
1/5/2022 12:00,63.88,64,63.845,63.995,380450
1/5/2022 12:15,64,64.2,63.965,64.165,479145
1/5/2022 12:30,64.165,64.23,64,64.0299,812056
1/5/2022 12:45,64.02,64.02,63.76,63.762,608692
1/5/2022 13:00,63.7661,63.8,63.545,63.545,623648
1/5/2022 13:15,63.545,63.6,63.49,63.555,454447
1/5/2022 13:30,63.555,63.62,63.51,63.6162,415469
1/5/2022 13:45,63.615,63.8,63.61,63.76,275537
1/5/2022 14:00,63.76,63.7667,63.56,63.59,510321
1/5/2022 14:15,63.585,63.605,63.36,63.465,624995
1/5/2022 14:30,63.465,63.54,63.22,63.235,511230
1/5/2022 14:45,63.235,63.34,63.12,63.28,732186
1/5/2022 15:00,63.28,63.415,63.04,63.1532,925716
1/5/2022 15:15,63.155,63.195,62.9,62.9,835439
1/5/2022 15:30,62.9,63.018,62.84,62.93,823570
1/5/2022 15:45,62.93,63.01,62.775,62.88,2539593
1/5/2022 16:00,62.85,62.85,62.85,62.85,2730656
1/6/2022 9:30,64.22,64.49,63.59,64.08,2100635
1/6/2022 9:45,64.09,64.222,63.76,63.92,1001464
1/6/2022 10:00,63.92,64.065,63.7094,63.745,1302484
1/6/2022 10:15,63.745,63.92,63.51,63.83,611936
1/6/2022 10:30,63.84,64.27,63.83,64.265,990265
1/6/2022 10:45,64.265,64.46,64.155,64.33,997181
1/6/2022 11:00,64.32,64.49,64.24,64.47,1123540
1/6/2022 11:15,64.465,64.885,64.46,64.8,1491705
1/6/2022 11:30,64.805,64.805,64.555,64.58,841531
1/6/2022 11:45,64.579,64.73,64.55,64.62,498542
1/6/2022 12:00,64.61,64.75,64.565,64.674,498490
