DATE,OPEN,HiGH,LOW,CLOSE,VOLUME
1/3/2022 9:30,2889.51,2911,2887.73,2903.29,56370
1/3/2022 9:45,2903.13,2904.52,2882.67,2882.67,17401
1/3/2022 10:00,2880.87,2885.66,2870.05,2877.7,23469
1/3/2022 10:15,2877.95,2894.36,2877.03,2892.13,20196
1/3/2022 10:30,2891.65,2900,2887.45,2897.18,15306
1/3/2022 10:45,2899.28,2906,2896.79,2900.92,11190
1/3/2022 11:00,2900.94,2900.94,2893.33,2894.84,9778
1/3/2022 11:15,2894.85,2894.96,2890,2892.07,9227
1/3/2022 11:30,2891.72,2895.75,2890.75,2894.71,6414
1/3/2022 11:45,2895.27,2898.25,2892.33,2892.33,8482
1/3/2022 12:00,2892.02,2895.17,2889.22,2894.23,6364
1/3/2022 12:15,2896.77,2900.64,2894.01,2895.33,7838
1/3/2022 12:30,2895.92,2896.69,2894.37,2896.09,3787
1/3/2022 12:45,2896.88,2905.21,2896.88,2905.21,9398
1/3/2022 13:00,2905.81,2909.01,2899.76,2908.29,6421
1/3/2022 13:15,2908.36,2909.25,2906.04,2908.39,5880
1/3/2022 13:30,2908.05,2909.36,2905.38,2909.36,6082
1/3/2022 13:45,2909.08,2909.8,2907.78,2908.43,4914
1/3/2022 14:00,2909.45,2910.55,2906.58,2906.58,4856
1/3/2022 14:15,2905.51,2906.28,2900.02,2901.08,4754
1/3/2022 14:30,2900.34,2909,2898.52,2908.48,6258
1/3/2022 14:45,2908.5,2909.5,2902.5,2902.5,5461
1/3/2022 15:00,2902.36,2907.31,2902.36,2906.24,7019
1/3/2022 15:15,2906.79,2907.72,2904.83,2904.9,8080
1/3/2022 15:30,2905.24,2907.8,2898,2898.54,9837
1/3/2022 15:45,2898,2901.49,2894,2901.49,150960
1/3/2022 16:15,2901.49,2901.49,2901.49,2901.49,0
1/4/2022 9:30,2911.01,2920.95,2902,2920.95,28968
1/4/2022 9:45,2921.3,2932.2,2915.01,2928.96,23126
1/4/2022 10:00,2927.66,2928.35,2911.96,2912.86,18569
1/4/2022 10:15,2912.52,2913.79,2904.05,2913.79,12559
1/4/2022 10:30,2912.9,2919.3,2901.88,2902.18,10417
1/4/2022 10:45,2903.14,2905.08,2888.29,2889.68,9777
1/4/2022 11:00,2888.74,2894.01,2885.51,2890.12,7564
1/4/2022 11:15,2888.57,2890.91,2884.8,2889.16,5383
1/4/2022 11:30,2890.06,2895.54,2890,2895.02,8776
1/4/2022 11:45,2896.38,2901.01,2896.38,2898.46,5613
1/4/2022 12:00,2896.69,2901.14,2895.26,2899.75,5648
1/4/2022 12:15,2899.66,2900.28,2894.5,2894.5,9329
1/4/2022 12:30,2894.26,2895.15,2889.04,2889.95,5846
1/4/2022 12:45,2889.85,2892.85,2884.05,2885.89,7658
1/4/2022 13:00,2885.6,2888.63,2884.82,2884.82,6206
1/4/2022 13:15,2884.69,2884.98,2879.5,2883.89,6977
1/4/2022 13:30,2879.94,2884.73,2876.32,2881.06,6320
1/4/2022 13:45,2881.21,2881.21,2877.53,2877.53,3031
1/4/2022 14:00,2878.73,2883.26,2878.73,2883.26,5741
1/4/2022 14:15,2884.05,2884.79,2880.35,2881.25,4281
1/4/2022 14:30,2881.42,2888.97,2881.37,2888.89,4600
1/4/2022 14:45,2889.37,2891.79,2887.38,2890.42,4083
1/4/2022 15:00,2891.65,2896.93,2891.65,2895.74,6189
1/4/2022 15:15,2895.77,2896.77,2892.75,2896.11,12595
1/4/2022 15:30,2896.23,2899,2893.1,2898.75,12174
1/4/2022 15:45,2898.86,2901.67,2886.44,2888.33,186760
1/4/2022 16:15,2888.33,2888.33,2888.33,2888.33,0
1/5/2022 9:30,2883.62,2885.96,2857.86,2871.58,42114
1/5/2022 9:45,2870.98,2871.71,2858.9,2858.9,27478
1/5/2022 10:00,2857.95,2863.68,2849.65,2850,25306
1/5/2022 10:15,2850,2856.42,2849.58,2853.86,23657
1/5/2022 10:30,2853.16,2854.37,2835.36,2835.59,22429
1/5/2022 10:45,2835.02,2837.76,2830,2837.76,19364
1/5/2022 11:00,2837.04,2837.61,2828,2833.56,22322
1/5/2022 11:15,2834.49,2834.85,2827.85,2832.79,15479
1/5/2022 11:30,2833,2834.22,2817.83,2818.87,40355
1/5/2022 11:45,2820.08,2820.08,2813.67,2817.77,28875
1/5/2022 12:00,2817.07,2818.49,2813.29,2815.92,22307
1/5/2022 12:15,2815.45,2818.6,2814.09,2816.84,19662
1/5/2022 12:30,2816.53,2816.53,2808.88,2809.76,20295
1/5/2022 12:45,2809.51,2811.04,2802.3,2804.66,19717
1/5/2022 13:00,2805,2807.21,2802.34,2806.67,9796
1/5/2022 13:15,2808.04,2819.19,2807.9,2817.46,19281
1/5/2022 13:30,2816.17,2818.14,2809.01,2810.82,12989
1/5/2022 13:45,2810.5,2810.97,2803.32,2805.15,33786
1/5/2022 14:00,2805.7,2819.48,2796,2800.73,25986
1/5/2022 14:15,2800.42,2804.55,2796.25,2797.08,22003
1/5/2022 14:30,2797.08,2799.52,2777.03,2778.23,37958
1/5/2022 14:45,2778.81,2790,2777,2778.9,27514
1/5/2022 15:00,2777.53,2778.93,2766.01,2776.73,40148
1/5/2022 15:15,2776.13,2780,2770,2774.66,37201
1/5/2022 15:30,2773.82,2778.79,2769.35,2770.49,62267
1/5/2022 15:45,2769.18,2771.63,2750.47,2753.07,158942
1/5/2022 16:00,2753.07,2753.07,2753.07,2753.07,187781
1/5/2022 16:15,2753.07,2753.07,2753.07,2753.07,0
1/6/2022 9:30,2749.95,2787.74,2735.27,2781.67,73740
1/6/2022 9:45,2782.43,2784.24,2767.91,2770,24450
1/6/2022 10:00,2770,2773.17,2754.05,2762.68,40575
1/6/2022 10:15,2762.71,2787,2762.71,2775.13,32011
1/6/2022 10:30,2774.01,2788,2774.01,2780.18,21021
1/6/2022 10:45,2781.79,2793.72,2778.23,2785.41,20463
