DATE,OPEN,HiGH,LOW,CLOSE,VOLUME
1/3/2022 9:30,58.82,58.92,58.56,58.765,1089263
1/3/2022 9:45,58.77,58.79,58.52,58.61,644403
1/3/2022 10:00,58.605,58.61,58.375,58.535,853134
1/3/2022 10:15,58.53,58.7,58.45,58.6,580844
1/3/2022 10:30,58.6,58.63,58.435,58.51,543214
1/3/2022 10:45,58.51,58.635,58.465,58.62,454048
1/3/2022 11:00,58.62,58.63,58.535,58.625,504825
1/3/2022 11:15,58.625,58.795,58.615,58.64,642006
1/3/2022 11:30,58.64,58.73,58.61,58.72,496908
1/3/2022 11:45,58.73,58.82,58.675,58.805,388873
1/3/2022 12:00,58.8017,58.815,58.615,58.685,774292
1/3/2022 12:15,58.68,58.82,58.64,58.82,749405
1/3/2022 12:30,58.82,58.825,58.74,58.7719,303410
1/3/2022 12:45,58.77,58.8,58.65,58.6799,308468
1/3/2022 13:00,58.68,58.75,58.64,58.735,317997
1/3/2022 13:15,58.74,58.85,58.72,58.845,192161
1/3/2022 13:30,58.85,58.87,58.78,58.865,373661
1/3/2022 13:45,58.86,58.9253,58.83,58.905,350306
1/3/2022 14:00,58.905,59.06,58.875,59.025,632988
1/3/2022 14:15,59.02,59.09,59.01,59.07,361505
1/3/2022 14:30,59.075,59.16,59.03,59.16,438334
1/3/2022 14:45,59.155,59.185,59.06,59.065,532556
1/3/2022 15:00,59.0643,59.08,59.025,59.06,325460
1/3/2022 15:15,59.066,59.09,59.03,59.05,427154
1/3/2022 15:30,59.055,59.17,59.05,59.11,516736
1/3/2022 15:45,59.105,59.31,59.105,59.3,1565272
1/3/2022 16:00,59.3,59.3,59.3,59.3,2323733
1/4/2022 9:30,59.73,60.25,59.59,60.245,3331832
1/4/2022 9:45,60.24,60.39,60.185,60.265,1159913
1/4/2022 10:00,60.27,60.47,60.23,60.34,959411
1/4/2022 10:15,60.35,60.37,60.105,60.16,823987
1/4/2022 10:30,60.16,60.295,60.125,60.29,921765
1/4/2022 10:45,60.28,60.335,60.19,60.33,861971
1/4/2022 11:00,60.33,60.41,60.21,60.265,873783
1/4/2022 11:15,60.27,60.4,60.19,60.365,786912
1/4/2022 11:30,60.35,60.385,60.2,60.38,638518
1/4/2022 11:45,60.371,60.48,60.34,60.4691,537700
1/4/2022 12:00,60.47,60.49,60.39,60.475,565993
1/4/2022 12:15,60.48,60.535,60.41,60.45,682374
1/4/2022 12:30,60.455,60.4757,60.295,60.305,506211
1/4/2022 12:45,60.3032,60.32,60.2,60.245,467012
1/4/2022 13:00,60.245,60.32,60.22,60.28,475997
1/4/2022 13:15,60.27,60.3,60.2,60.3,458750
1/4/2022 13:30,60.295,60.31,60.14,60.17,519188
1/4/2022 13:45,60.165,60.265,60.16,60.235,496479
1/4/2022 14:00,60.235,60.38,60.23,60.36,374581
1/4/2022 14:15,60.365,60.43,60.36,60.43,416573
1/4/2022 14:30,60.4286,60.45,60.33,60.375,419136
1/4/2022 14:45,60.37,60.46,60.36,60.44,377140
1/4/2022 15:00,60.44,60.44,60.37,60.385,360997
1/4/2022 15:15,60.385,60.44,60.355,60.391,470783
1/4/2022 15:30,60.395,60.41,60.31,60.365,835524
1/4/2022 15:45,60.365,60.445,60.275,60.28,1794537
1/4/2022 16:00,60.29,60.29,60.29,60.29,2891525
1/5/2022 9:30,60.09,60.68,60.05,60.64,1108449
1/5/2022 9:45,60.65,60.83,60.6077,60.67,711444
1/5/2022 10:00,60.675,60.84,60.54,60.835,512824
1/5/2022 10:15,60.835,61,60.83,60.965,655486
1/5/2022 10:30,60.97,61.09,60.925,61.085,892462
1/5/2022 10:45,61.085,61.135,60.885,60.935,776036
1/5/2022 11:00,60.94,61.015,60.9,60.9901,444048
1/5/2022 11:15,61,61.06,60.99,61.035,349877
1/5/2022 11:30,61.04,61.07,60.95,60.9899,407537
1/5/2022 11:45,60.985,61.1,60.97,61.055,330224
1/5/2022 12:00,61.05,61.155,61.04,61.155,254788
1/5/2022 12:15,61.155,61.195,61.09,61.145,401940
1/5/2022 12:30,61.145,61.17,61.01,61.03,386228
1/5/2022 12:45,61.025,61.1,61.0102,61.05,316045
1/5/2022 13:00,61.0504,61.185,61.05,61.165,386404
1/5/2022 13:15,61.165,61.19,61.075,61.085,419799
1/5/2022 13:30,61.085,61.185,61.06,61.175,320409
1/5/2022 13:45,61.175,61.19,61.135,61.145,217148
1/5/2022 14:00,61.145,61.165,60.92,60.98,414528
1/5/2022 14:15,60.99,61.15,60.975,61.085,415976
1/5/2022 14:30,61.085,61.089,60.89,60.92,416444
1/5/2022 14:45,60.93,61.015,60.9,60.935,429069
1/5/2022 15:00,60.935,61,60.825,60.85,518424
1/5/2022 15:15,60.8401,60.895,60.8,60.86,652122
1/5/2022 15:30,60.86,60.91,60.81,60.89,1015920
1/5/2022 15:45,60.88,60.99,60.74,60.81,2584560
1/5/2022 16:00,60.79,60.79,60.79,60.79,2667788
1/6/2022 9:30,60.465,60.81,60.46,60.6001,1236788
1/6/2022 9:45,60.605,60.81,60.54,60.795,616598
1/6/2022 10:00,60.8,61.09,60.76,61.08,876635
1/6/2022 10:15,61.07,61.115,60.91,60.9452,756615
1/6/2022 10:30,60.95,61.09,60.83,61.08,560059
1/6/2022 10:45,61.08,61.115,60.73,60.74,590155
1/6/2022 11:00,60.74,60.75,60.56,60.635,398984
1/6/2022 11:15,60.63,60.72,60.57,60.67,286353
1/6/2022 11:30,60.66,60.825,60.57,60.58,389369
1/6/2022 11:45,60.59,60.67,60.575,60.61,320645
1/6/2022 12:00,60.61,60.625,60.53,60.61,322624
1/6/2022 12:15,60.61,60.73,60.61,60.71,430073
1/6/2022 12:30,60.71,60.7711,60.6615,60.77,359505
1/6/2022 12:45,60.77,60.775,60.68,60.715,191251
1/6/2022 13:00,60.71,60.79,60.67,60.77,223691
1/6/2022 13:15,60.77,60.78,60.71,60.755,223483
1/6/2022 13:30,60.76,60.885,60.76,60.8,216805
1/6/2022 13:45,60.8,60.83,60.7016,60.77,407064
1/6/2022 14:00,60.765,60.84,60.745,60.765,378399
1/6/2022 14:15,60.765,60.885,60.722,60.855,354416
1/6/2022 14:30,60.855,60.915,60.85,60.9,365774
1/6/2022 14:45,60.895,60.925,60.83,60.835,321041
1/6/2022 15:00,60.835,60.84,60.66,60.67,426855
