DATE,OPEN,HiGH,LOW,CLOSE,VOLUME
1/3/2022 9:30,269.49,270.73,269.1,269.58,208499
1/3/2022 9:45,269.43,269.55,267.83,268.29,171650
1/3/2022 10:00,268.42,268.89,267.3,268.765,136928
1/3/2022 10:15,268.71,268.73,267.705,268.05,55433
1/3/2022 10:30,268.07,268.09,267.54,267.635,44835
1/3/2022 10:45,267.595,268,267.32,267.79,36776
1/3/2022 11:00,267.79,267.79,266.35,266.36,43980
1/3/2022 11:15,266.43,266.62,265.91,265.95,44584
1/3/2022 11:30,265.957,266.34,265.57,266.34,52335
1/3/2022 11:45,266.34,266.53,265.79,265.96,27927
1/3/2022 12:00,266.025,266.33,265.76,266.33,26861
1/3/2022 12:15,266.38,266.66,266.31,266.4,27250
1/3/2022 12:30,266.425,266.425,266.12,266.21,27625
1/3/2022 12:45,266.19,266.36,265.86,265.9,18610
1/3/2022 13:00,265.9,266.16,265.56,266.09,32743
1/3/2022 13:15,266.08,266.7,266.07,266.69,15234
1/3/2022 13:30,266.67,266.96,266.45,266.96,51862
1/3/2022 13:45,266.99,267.42,266.95,267.29,28380
1/3/2022 14:00,267.29,267.68,267.18,267.64,28778
1/3/2022 14:15,267.6,267.91,267.44,267.78,22895
1/3/2022 14:30,267.82,268.12,267.67,268.12,41508
1/3/2022 14:45,268.038,268.19,267.91,268.02,18578
1/3/2022 15:00,267.98,268.1,267.81,267.94,27548
1/3/2022 15:15,267.987,268.48,267.9,268.45,27142
1/3/2022 15:30,268.48,268.815,268.2,268.25,60218
1/3/2022 15:45,268.28,269,268.26,268.62,163537
1/3/2022 16:00,268.58,268.58,268.58,268.58,458838
1/4/2022 9:30,269.5,269.73,268.88,269.195,105850
1/4/2022 9:45,269.3,270.36,269.26,269.555,70256
1/4/2022 10:00,269.55,270.424,269.54,269.8,56452
1/4/2022 10:15,269.782,270.17,269.48,269.76,42782
1/4/2022 10:30,269.975,271.06,269.975,270.89,49779
1/4/2022 10:45,270.87,271.15,270.4,270.85,38080
1/4/2022 11:00,270.825,270.89,270.44,270.86,39200
1/4/2022 11:15,270.875,271.14,270.61,270.76,43588
1/4/2022 11:30,270.765,270.82,270.18,270.47,34877
1/4/2022 11:45,270.5,270.76,270.385,270.55,40141
1/4/2022 12:00,270.48,270.576,270.23,270.48,34515
1/4/2022 12:15,270.48,270.52,269.64,269.79,33349
1/4/2022 12:30,269.75,269.77,269.19,269.34,35741
1/4/2022 12:45,269.34,269.565,269.017,269.1,28482
1/4/2022 13:00,269.1,269.265,268.92,269.01,29386
1/4/2022 13:15,269.015,269.16,268.875,269.12,32067
